name	mitarbeiter	kunden	bestandteil	homepage	quelle	tags
Ketchum Pleon Berlin	Dirk Popp, Arne Wiechmann, Thomas Helm, Horst Wettlaufer, Sabine Hückmann, Peter Strieder, Joachim Klewes, Paul J. Kohtes	Novartis, Bosch	DAS, Omnicom	http://www.ketchum.com	http://www.ketchum.com	PR- und Lobbyagentur
Johanssen + Kretschmer	Heiko Kretschmer, Matthias Bischof, Lars Kühn, Klaus Lintemeier	WWF, SPD, Bundesministerium für Ernährung Landwirtschaft und Verbraucherschutz, Drewag, entega, MoMa, Veolia, Natur Energie Plus Ärzte ohne Grenzen, Cura 		http://www.jk-kom.de/	http://www.jk-kom.de/	PR- und Lobbyagentur
APCO Worldwide	Christoph Mielke, Robert Ardelt, Clemens John, Johann Voss, Nadine Meliß, Kathrin Kloppe	Ikea, Microsoft, Novartis, United Airlines, GE, Philip Morris, Yukos, Kasachstan, Malaysia, United Nations Foundation, Sprint		http://www.apcoworldwide.com	http://lobbypedia.de/wiki/APCO_Worldwide	PR- und Lobbyagentur
WilmerHale	Martin Braun, Christian Crones, Christofer Eggers, Jan Heithecker, Hans-Georg Kamann, Alexander Kollmorgen, Reinhart Lange, Stefan Ohlhoff, Ulrich Quack, Klaus Schubert, Franz T. Schwarz, Martin Seyfarth, Roland Steinmeyer, Holger Thomas, Paul A. von Hehn, Matthias Santelmann, Matthias Wissmann, Claus-Dieter Ehlermann, Reinfrid Fischer, Hanns-Eberhard Schleyer, Oliver Fleischmann, Peter Gey, Michelle Glassman Bock, Rebekka Hye-Knudsen, Michael Melber, Eva Schalast, Julia Schwalm, Patrick Späth, Golo Weidmann, Olaf Weiß, Jan-S. Wendler, Natalie Achenbach, Julia Goetz, Christoph Harler, Tobias Henn, Ines Krolop, Christian Müller, Mathias Neubauer, Katrin Schürmann, Regina Klostermann, Johannes Müller, Christina Pape, Ramona Ruf, Annette Rutz, Christian Schwedler, Johannes Ylinen, Marcus Lutter	Akamai Technologies, Amdocs, Analog Devices, AT&T, Bayer, Boeing, Becton, Dickinson, BJ’s, Wholesale Club, Bose, Broadcom, Cephalon, Citigroup, Credit Suisse, Chrysler, Lehman Brothers, Danaher, Die Bahn, Deutsche Bank, Telekom, Educational Testing Service, EMC, General Electric, Goldman Sachs, The Hartford Financial Group, Honda, HSBC Finance, JPMorgan Chase, Kodak, ThyssenKrupp, Lufthansa, Millennium Pharmaceuticals, Monsanto, Morgan Stanley, Novartis, Oracle, Panera Bread, PerkinElmer, Pfizer, Philips, Procter & Gamble, Red Hat, Siemens, Staples, Statoil, Sun Life Financial, Thermo, Fisher Scientific, UBS, Varian Semiconductor, WebMD, Wyeth, Yankee Candle 		http://www.wilmerhale.de/	https://lobbypedia.de/wiki/WilmerHale	PR- und Lobbyagentur, Anwaltskanzlei, Medien, Transport, Logistik, Finanzdienstleistungen
H&K Hill+Knowlton Strategies	Ernst Primosch, Udo Becker, Thomas Wimmer	Twentieth Century Fox, Yahoo, Ford, Nestle, Airtel, Aisle Avant Garde, Almond Board of California, Merck, Procter & Gamble, USA, China, Ägypten, Bold, Dolby Laboratories, AOSC, Athabasca Oil Sands Corporation, Tree Top Goods, Cliffs Natural Resources, Chevron, Holiday Inn, Vattenfall, Deloitte Banking, Adobe, Duracell, Sun Microsystems, Canada Post, Red Bull, PepsiCo, Bill & Melinda Gates Foundation, Neuseeland, Tata, Paper Mate, Johnson & Johnson, War Child Canada, Comet, Hotel Indigo, Korean Lottery Commission, Lush Cosmetics, First Data, Mashreq, Dubai, Abu Dhabi, Nokia, Qualcomm, Giro d’Italia, Gedeon Richter, Reebok, Sangari Institute, Sharp, Crowne Plaza, DHL, TomTom, Red Roof Inn, Pringles, Adidas, Großbritannien, Philip Morris, The Body Shop, De Beers, Botswana, Debswana, IMF - Internationaler Währungsfonds, 321 Studios, 5-a-Day, AIG Consultants, American Heart Association, Applied DNA Sciences Inc., Arby’s, Australien, Avaya, Boeing, Blue Cult, Bowne Global Solutions, Brightmail, Center for International Disaster Information, Cigar Assn. of America, Clarinol CLA, Enron Corporation, Japan, Diamond Works, Diamond Trading Company, Cotton Ginny, Eisai, Energem, Evergreen International Aviation, Factiva, Florida Hospital Assn., GFI Group, GlaxoSmithKline, HP Hewlett Packard, Identrus, Indien, Inrange Technologies, Kellogg Company, Kidney Care Partners, Labatt Breweries, Motorola, Frank Murkowski, National Information Program on Antibiotics, NextWave Telecom, Nuclear Energy Institute, O'Melveny & Myers LLP, Ontario, PIMCO, Pasadena Tournament of Roses Assn., Play.com, Project Better Place, Purolator, Samcor, Sankyo, Saudi Arabien, Sino-Forest Corp., Sport Englad, StorageTek, Teilhard Technologies, TeleSym, Uganda, Unilever Bestfoods, Victhom Human Bionics, Vietnam, Virgin Mobile, Wal-Mart, Church of Scientology, Türkei, Malediven, BCCI - Bank of Credit and Commerce International, ANGA - America's Natural Gas Alliance	WPP Group	http://www.hkstrategies.de/de	http://www.hkstrategies.com/expertise/case-studies	PR- und Lobbyagentur
FischerAppelt	Bernhard Fischer-Appelt, Franziska von Lewinski, Frank Behrendt, Andreas Fischer-Appelt, Adel Gelbert, Andreas Haas, Dino Büscher, Marius Voigt, Sabine Reinstädler, Steffen Schulik-Feddersen, Philipp Wittgenstein, Mirco Völker	Daimler, Mercedes-Benz, congstar, Gazprom, LEGO, Merck, Olympus, Katar, Intersolar, Kfw, ZVEI, BVT, DP - Demokratesch Partei Luxemburg, matratzen direct, AEG, Bree, Kraft, Mondelez, Tagesschau, CosmosDirekt, HILTI, Danone, Sachsen-Anhalt, ARD Fernsehlotterie, Deutsche Post, Generali, CHIP, Allianz, Diakonie, Axel-Springer-Verlag, Windenergieagentur WAB, Bundesministerium der Finanzen, Zoll, Niedersachsen, Burda-Verlag, Techniker Krankenkasse, Baden-Württemberg, Bosch, Bundesverkehrsministerium, Yahoo, A. Lange & Söhne, Weber, Bundesagentur für Arbeit, Hapag Lloyd, Letzebuerger Journal, LEGO, Easyjet, Telekom, TUI, Sachsen, Hamburg, 		http://www.fischerappelt.de	http://www.fischerappelt.de	PR- und Lobbyagentur
Aspect Consulting	Corinna Schubert, James Hunt, Frans Green, Martin Light	FedEX, AkzoNobel, Symantec, Organon, Gruenenthal, PharmaZell, Schottland, Shell, McDonalds, Kellogg’s, DSM, FoodDrinkEurope, CEEREAL, EWEA, BHP Billiton Diamonds, P&G - Procter & Gamble, Royal DSM, Eurostar, Amway, Telefunken, AEG, Forrester Research		http://www.aspectconsulting.eu/	http://www.aspectconsulting.eu	PR- und Lobbyagentur
Burson-Marsteller	Alexander Fink, David Earnshaw, Karen Massin, Christian Thams, Anita Wälz, Jutta Falke-Ischinger, Christoph Schupp	BSEF - Bromine Science and Environmental Forum, H LUNDBECK, Bayer Schering Pharma, Initiative for a Competitive Online Marketplace, ExxonMobil, European Peat and Growing Media Association, DTEK Holdings, Coca Cola, McDonalds, SAP, Lufthansa, Argentinien, Nigeria, Blackwater, Johnson und Johnson, Nestlé, REWE, Mastercard, Mazda, Pfizer, Danone, Fraport, Condor, Facebook, Monanto, Deutsche Bahn, Xinhua News Agency, Mexiko, Sun Microsystems, Hongkong, Rumänien, Bobcock & Wilcox, Union Carbide, Argentinien, Indonesien, Philip Morris, Nigeria, Aqua Dots, Unilever, AstraZeneca, GlaxoSmithKline, Foxconn, Dupont, Archer Daniels Midland, Exelon, Abu Dhabi, Allergan, Cephalon, Kolumbien, Entergy, HidroAysén, Hewlett Packard, Dubai, Irak, Philippinen, Qualcomm, SAP, Yukos, Sony	WPP Group	http://burson-marsteller.de/	https://lobbypedia.de/wiki/Burson-Marsteller	PR- und Lobbyagentur
g+ - Gplus	Gregor Kreuzhuber, Rita Pawelski, Daniel Florian, Nina Trofimova, Peter Guilford, Sebastian Sass, Bernard Volker	BHP Billiton, Rio Tinto, Baxter, AngloAmerican, BP Capital V.O.F., Shell, ENI Adfin SA, Repsol YPF, TOTAL, Parlevliet & Van der Plas, European Federation internationale des associations de producteurs de films, International Video Federation, International Union of Cinemas, Interactive Software Federation of Europe, Premier League/SROC, Association of Commercial Televisions in Europe, Fishburn Hedges, Danske Bank, European Lotteries, Solar Century, Suntech Power International, Svenska Spel, O2, NetJets Managment, Managed Funds Association, Vitol, Ruanda, Brussels Worldwide Services BVBA, Mission du Royaume du Maroc auprès de l'Union Européenne, RBS - The Royal Bank of Scotland, Lanxess, Canadian Solar, Yingli Green Energy International, Trina Solar, Alexion Services Europe SPRL, Exxon Mobile, Arcelor Mital, Hertz, Europcar, NPMEM, Avis, La Française des Jeux, EAEPC - European Association of Euro-Pharmaceutical Companies, Chiquita Brands International, NIS - Naftna Industrija Srbije, IMA - Investment Management Association, BG Group, Qualcomm, Equifax Limited, Confederacion Espanola de Pesca, Russland, MPA - Motion Picture Association, NBC Universal, Gazprom, Archer Daniels Midland Company		http://www.gpluseurope.com/en/	http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=7223777790-86	PR- und Lobbyagentur
Scholz&Friends	Frank-Michael Schmidt, Kai Wolf, Niels Alzen, Klaus Dittko, Percy Smend	Opel, Deutsche Bank, Frankfurter Allgemeine Zeitung, Vodafone, Siemens, Deutsche Bahn, Tchibo, Bayer, Deka, Tom, Müller, Meßmer, Fisherman’s Freiend, Fürth, Stihl, Caparol, Volvier, Erasmo, Robinson, Mercedes Benz, VHV Versicherungen, Aperol, Axel Springer, Campari, Bundesministerium für Bildung, Europäische Komission, Charité, Quixxit, Ergo, Rewe 	WPP Group	http://www.s-f.com/	http://www.s-f.com/	PR- und Lobbyagentur
