name	mitarbeiter	kunden	bestandteil	homepage	quelle	tags
Weber Shandwick	Christiane Schulz, Dirk Schröder, Jan Dirk Kemming, Bärbel Hestert-Vecoli, Olaf Pempel, Jan Ribbeck, Torsten Rothärmel, Holger Wilke, Jan Möller, Julian Lambertin, Thorsten Düß, Robin von Gemmingen, Astrid von Rudloff	Bundesverband Medizintechnologie, Roche, ASUS, Carglass, Deutsche Telekom, EZB Europäische Zentralbank, Napster, Monster Worldwide, Novartis, Paramount Home Entertainment, Paulaner, Stars for Europe, Subway, Toyota, VdZ Vereinigung der deutschen Zentralheizungswirtschaft	Interpublic Group of Companies, McCann Erickson Worldwide Group, Ammirati Puras Lintas, The Lowe Group	http://webershandwick.de	https://lobbypedia.de/wiki/Weber_Shandwick	PR- und Lobbyagentur, Meine Wahl!
Thelen Consult	Friedrich Thelen, Thilo Sarrazin, Ludolf von Wartenberg, Hermann Otto Solms, Rüdiger von Rosen			http://www.thelen-consult.de/	http://www.thelen-consult.de/	PR- und Lobbyagentur
Edelman	Susanne Marell, Martin Porter, Uta Behnke, Bernd Buschhausen, Martin Flörkemeier, Martina Pennekamp	Chevron, Bunge, EJF European Justice Forum, Fediol, GE, BSA Business Software Alliance, Danone, Hewlett Packard, Johnson & Johnson, Photonics21, The Energy Partnership, The Nielsen Company     Abbott, AstraZeneca, Building With Biomass coalition, EuropaBio, EGaF European Gas Forum, INTA  International Trademark Association, Roche, SEMA Speciality Equipment Market Association, Stoxx, Syngenta, World Gold Council, WWF, Rodenstock, Shell, Rossmann, Unilever		http://www.edelman.de/de/	https://lobbypedia.de/wiki/Edelman	PR- und Lobbyagentur
Consultum Communications	Hans-Erich Bilges, Dieter Stolte, Rolf Eckrodt,  Fritz Vahrenholt, Michael Glos, Holger Hatje, Hanns Eberhard Schleyer, Hans-Dietrich Genscher	Aserbaidschan, Weißrussland, Kasachstan	Hardenberg Concept	www.consultum.de	http://www.spiegel.de/spiegel/print/d-83422496.html	PR- und Lobbyagentur
365 Sherpas	Cornelius Winter, Heiko Wiese, Jan Böttger, Klaus Harbers, Cornelia Göbel	Bundesministerium für Arbeit und Soziales	Zum goldenen Hirschen	http://365sherpas.com	http://www.horizont.net/agenturen/nachrichten/Polit-Etats-Nahles-Ministerium-wechselt-Kreativ--und-PR-Agenturen-aus-120522	PR- und Lobbyagentur
Instinctif Partners	Cornelius Brand, Carsten Böhme, Matthias Großmann, Ursula Querette, Thomas Stein, Ulrich Stockheim, Hubert Becker, Christian Fälschle, Michael Müller, Wolfgang Nübold	Fendt, Unitymedia Kabel BW, Generali Deutschland, Goldman Sachs, BMW, AGCO, BioM Biotech Cluster Developement, ALBA Group		http://www.instinctif.de	http://www.instinctif.de/fr/archive/detail/getarticle/News/detail/roadshow-couronne-de-succes-pour-lespace-economique-chinois-shenbei-new-district.html	PR- und Lobbyagentur, Stockheim Media
FleishmanHillard	Hanning Kempe, Dirk Krieger, Caroline Wunnerlich, Dave Senay	BPA Coalition, Marks & Spencer, Lukoil, Pfizer, Blackbridge, Oxera, Nats, EPRA European Public Real Estate Association, Hudson Trading, Quantslab, Nets, Towers Watson, Platts, Tobii, IGU International Gas Union, MPOC Malaisian Palm Oil Counsel, PCIA European Wireless Infrastructure, KAUPPA Federation of Finnish Commerce, ICA, General Motors, IIA Index Industry Association, IOFI International Organization of the Flavor Industry, DIF Digital Interoperability Forum, NAREIT National Association of Real Estate Investment Trusts, Gerg, GIIGNL, Marcogaz, Cap Group, AECC Association for Emissions Control by Catalyst, Procter & Gamble, Which, Novo Nordisk, Liberty Global, Monsanto, Parkwind, CEFS Comité Européen des Fabricants de Sucre, IIGCC Institutional Investors Group on Climate Change, AGROKOR, NXP, OGP International Association of Oil and Gas Producers, Bayer, Chi-X, Huawei, Honeywell, Citadelle, GESAC Groupement Européen des Sociétés d'Auteurs et Compositeurs, Philips, Swift, RGM Advisors, Hasbro, Pimco, Danske Bank, PCS Prime Collateralised Securities, Medel, Johnson Controls, Sanofi, Europcop, Symantec, ERRT European Retail Round Table, GIE Gas Infrastructure Europe, Eurogas, PC/BPA GROUP PlasticsEurope, ABI - INBEV, Carlyle, McGraw-Hill, FEAM Forum of European Asset Managers, Emirates, Erste Bank, AEL Alliance for European Logisitics, ISLA International Securities Lending Association, Unica, Janssen, Nike, CFA Institute, Coca-Cola, BP, LCH Clearnet, IMA Investment Management Association, ILR Institute for Legal Reform, GE General Electric, ECPI European Council for Plastisicers and Intermediates, Markit, EIGA European Industrial Gases Association, Blackrock, Morgan Stanley, Baltic 2020, HSBC, Credit Suisse, ISDA International Swaps and Derivatives Association, UNESDA Union of European Soft Drinks Associations, ICAP, Aviva, ISOPA European Diisocyanate & Polyol Producers Association, Eli Lilly, Huntsman, EEA European Express Association, Standard & Poors, Thomson Reuters, Formacare, JP Morgan, Barclays Capital, AFME Association for Financial Markets in Europe, SHV Energy, Exxon Mobile	DAS, Omnicom	http://fleishman.de	http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=56047191389-84	PR- und Lobbyagentur
Baker & McKenzie	Christian Atzler, Michael Bartosch, Christoph Becker, Soenke Becker, Claudia Beuter-Brinkmann, Christian Brodersen, Janet Kerstin Butler, Barbara Deilmann, Mark Devlin, Gregor Dornbusch, Joachim Drude, Tino Duttine, Matthias Eggert, Holger Ellers, Ulrich Ellinghaus, Michael A. Fammler, Wolfgang Fritzemeyer, Joachim Froehlich, Marc Gabriel, Thomas Gilles, Burkard Goepfert, Stephan Goetze, Thomas Gruetzner, Heiko Alexander Haller, Axel J. Hamm, Wilhelm B. Hebing, Guenther H. Heckelmann, Udo Henkel, Ulrich Hennings, Jochen Herr, Christian Horstkotte, Florian Kaestle, Martin Kaiser, Sonja G. Klein, Benjamin Koch, Hagen Koeckeritz, Nicolas Kredel, Daniel Krone, Franz Clemens Leisch, Andreas C. Lohner, Nicole Looks, Manuel Lorenz, Holger Lutz, Kathrin Marchant, Jon Marcus Meese, Susanne Mertens, Jochen Meyer-Burow, Norbert Mueckl, Werner Mueller, Rembert Niebel, Frank Pflueger, Guenter Pickrahn, Heiko Plassmeier, Dorothee Prosteder, Ulrich Raensch, Thilo Raepple, Christian Reichel, Nikolaus Reinhuber, Joerg Risse, Joachim Scherer, Steffen Scheuer, Michael Schmidl, Stephan Schnorberger, Matthias Scholz, H.-Juergen Schramke, Gerald Schumann, Thorsten Seidel, Oliver Socher, Stephan Spehl, Katharina Spenner, Peter Stankewitsch, Ingo Strauss, Florian Thamm, Frank-Rainer Toepfer, Bernhard Trappehl, Constanze Ulmer-Eilfort, Ulf Wauschkuhn, Thomas Wernicke, Tilman Wink, Sandra Wittinghofer, Christoph Wolf, Alexander Wolff, Andrea C. Ziegler, Juergen Mark, Anouschka Zagorski, Constanze Ulmer-Eilfort	O2 Telefonica, Dassault Systemes, Air Liquide, Zorlu Energy, Ingersoll Rand, Flowserve Corp, Heidelberger Druckmaschinen, Mercedes-Benz Bank, Clariant, Citigroup, Gilde Buy Out Partners, Montagu, Paribas, Subsidiary Plan.Net, QST International Corp., DZ Bank, Swiss Holding AG, KSPG, Hochtief, Dynamique, Feintool, Grunder + Jahr, Meibah International, Wicor, Gieseke & Devrient, ING, NIBC Bank, MAT Holdings, Knorr-Bremse Systems, Sulzer, Jazz Pharmaceuticals, Airesis, Societe Generale, Yorkville, Chemtura, Nyrstar, Sika, SEB, Tieto, JP Morgan, MAHLE, BMW, BITZER SE, Swissmetal, Serfain Group, PPC, Dura Automotive, TVH Group, Chemtura, AiCuris, Beiersdorf, Meji Jasuda, WestLB, Evonik, LBBW, Alfred Kröner Verlag, Kiekert Shareholders, Karl Schlecht Stiftungen, VW Volkswagen, Ecolab	True Sale International	http://www.bakermckenzie.com/	http://www.bakermckenzie.com/	Anwaltskanzlei
Becker Büttner Held	Martin Altrock, Olaf Däuper, Christian Wyl, Jost Eder, Thies Christian Hartmann, Christian Held, Ulf Jacobshagen, Astrid Meyer-Hetling, Stefan Missling, Martin Riedel, Daniel Schiebold, Christian Theobald, Miriam Vollmer, Jens Vollprecht, Ines Zenke, Matthias Albrecht, Rudolf Böck, Sabine Böck, Oliver Eifertinger, Manfred Ettinger, Manfred Strasser, Wolfram von Blumenthal, Christoph Edler von Weidenbach, Jürgen Gold, Pascal Hessler, Christian Jung, Axel Kafka, Ursula Prall, Jan-Hendrik vom Wege, Stefan Wollschläger, Jürgen Tschiesche, Dörte Fouquet	First Solar, EREF, GEODE, Stadtwerke Tübingen, Westfalen Weser Energie		http://www.beckerbuettnerheld.de	http://www.beckerbuettnerheld.de	Anwaltskanzlei, Energie, Strom
BSU Brauner Schurgers Uhlenhut Rechtsanwälte	Roman Brauner, Birgit Schurgers, Bernd Uhlenhut, Lars-Uwe Pera			http://www.bsu-legal.de	http://www.bsu-legal.de	Anwaltskanzlei
Dierks+Bohle Rechtsanwälte	Christian Dierks, Thomas Bohle, Martin H. Stellpflug, Ulrich Grau, Gerhard Nitz, Constanze Püschel, Christian Burholt, Thomas Willaschek, Torsten Münnch, Daniel Geiger, Maximilian Warntjen, Jan Moeck, Christian Pinnow, Antonia Mehlitz, Christian Reuther, Tobias Volkwein, Alina Waldmann, Matthias Kronenberger, Julian Braun, Judith Wallat, Filip Kötter, Julia Godemann, Christian Bichler, Silke Maas, Ann-Kristin Hörsken, Fabian Dorra, Jörn Grotjahn, Constanze Barufke			http://www.db-law.de	http://www.db-law.de	Anwaltskanzlei, Medizin, Pharma, Pflege
KMLZ Küffner Maunz Langer Zugmaier	Thomas Küffner, Stefan Maunz, Ronny Langer, Oliver Zugmaier, Eveline Beer, Christian Salder, Thomas Streit, Robert Hammerl, Daniel Kaiser, Matthias Luther			http://www.kmlz.de	http://www.kmlz.de	Anwaltskanzlei, Steuern
Rechtsanwaelte Reiser & Coll.	Klaus Reiser, Natalie Rzymann	 Diehl Aerospace, Widemann Bodensee-Kelterei, Lindauer Bodensee-Fruchtsäfte, Kenny S., Jung Poly-Kontakt		http://www.reiserlaw.eu	http://openinterests.eu/entities/DxeSFEhim9WTVLD-rechtsanwaelte-reiser-coll	Anwaltskanzlei
Rödl & Partner	Peter Bömelburg, José A. Campos Nave, Marcus Felsner, Christian Rödl, Hans Weggenmann, Martin Wambach, Wolfgang Kraus 	Kirchweidacher Energie, Geothermie Unterhaching, BMU Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit, ZSW, Weltbank, KfW		http://www.roedl.de	http://www.roedl.de	Anwaltskanzlei, Energie
Clifford Chance	Patrick Biagosch, Nicole Englisch, Burc Hesse, Marc Holtorf, Markus Muhs, Tim Schreiber, Arndt Stengel, Stefanie Tetz, Christian Urenkel, Thomas Weitkamp, Jan Wrede, Marc Besen, Thomas Burmeister, Peter Christ, Peter Dieners, Barbara Mayer-Trautmann, Thomas Hey, Christoph Holstein, Michael Kremer, Florian Mahler, Claudia Milbradt, Ulrich Reese, Peter Rosin, Reinhard Scheer-Hennings, Joachim Schütze, Thomas Stohlmeier, Thomas Weimann, Jutta Aichele, Stefan Behrens, Marc Benzler, Edmund Boyo, Andreas Dietzel, Joseph Brinkhaus, Gerhard Dreyer, David Elshorst, Nicole Engesser Means, Gregor Evenkamp, Oliver Felsenstein, Christof-Ulrich Goldschmidt, Jan Grabbe, George Hacket, Alexandra Hagelüken, Joachim Hasselbach, Björn C. Heinlein, Uwe Hornung, Heiner Hugger, Gerold Jaeger, Christian Keilich, Christopher Kellett, Arne Klüwer, Kerstin Kopp, Christine Koziczinski, Thomas Krecek, Oliver Kronat, Stefan Löchner, Sebastian Maerker, Stefan Menner, Bernd Meyer-Witting, Klaus Minuth, Felix Mühlhäuser, Markus Pfüller, Sebastian Rakob, Thomas Reischauer, Loren Richards, Wolfgang Richter, Thorsten Sauerhering, Stefan Sax, Uwe Schimmelschmidt, Burkhard Schneider, Hans-Josef Schneider, Frank Scholderer, Tobias Schulten, Andre Schwanna, Stefan Simon, Marco Simon, Marco Simonis, Bettina Steinhauer, Dietrich Stiller, Cornelia Thaler, Sandra Thiel, Riko Vazenis, Thorsten Vormann, Michael Weller, Beda Wortmann, Sven Zeller	State Grid, HSH Nordbank, Man Group, Sun Hung Kai, Haitong International, Gilde Healthcare, IFC, RedTree Capital, Kingspan, First Gen, IVG Immobilien AG, Swiss Life, IVG Institutional Funds, Essel-Clean Solu Hydropower, BNP Paribas, LV=, Bpifrance Investissement, Shangri-La Asia, Carlyle, China CITIC Bank, Türkei, Haitong Securities, Enel Green Power International, CVC, Wumei Holdings, EnBW, AVR-Afvalverwerking, BAIC Motor, Equistone, Apache, AEW Europe, Dubai, Hearst, Petrotec AG, CGN Power, Butler Capital Partners, Airbus, Indigo Capital, Project Finance, Carmila, ADB, Bangkok Bank, Geneba Properties, Real I.S., J.P. Morgan, Santander, Legal & General, GLL, CVC Capital Partners, CTBC Bank, Vietnam, KONE, Cinven, VW Volkswagen, HgCapital, SAP, Salamander Energy, CESC Limited, Technip, Advanced Petrochemical Company, Wendel, DP World, Mitsubishi, Endo Lighting, Amundi, EIB, Banco Santander, Indiabulls Real Estate, Mondelez, AMP, Atrium, 3i, China Hongqiao Group, Moelis, Morgans, Großbritannien, Commerzbank, LBBW, SEB, Bank of China, EBRD European Bank for Reconstruction and Development, Actis, Kuka AG, Statoil, UKAR, Apax, Sime Darby, NBK, O1 Group, Petra Capital, Spectrum Brands, Khazanah, Software AG, PMC, Amundi, Telefonica, Tristan Fund, Symrise AG, Bandfix AG, Fabrice Cohen, Accor, Société Nationale Immobilière, Euro-Druckservice, China Shipping, MOL, OCBC, PGGM, InfraVia II, Goldman Sachs, Bank of America Merrill Lynch, Bank Deutsches Kraftfahrzeuggewerbe, UniCredit Bank, Pentahotels,  Credit Suisse, Danareksa Sekuritas, UBS	True Sale International	http://www.cliffordchance.com	http://www.cliffordchance.com	Anwaltskanzlei
Freshfields Bruckhaus Deringer	Franz Aleth, Andreas Helmut Bartsch, Matthias Benecke, Marius Berenbrok, Helmut Bergmann, Klaus Beucher, Ulrich Blaas, Heiner Braun, Jan Brinkmann, Thomas Bücker, Christian Bunsen, Peter Chrocziel, Patrick Cichy, Johannes Conradi, Martina de Lind van Wijngaarden, Jochen Dieselhorst, Natascha Doll, René Döring, Christian Duve, Boris Dzida, Stephan Eilers, Jochen Ellrott, Timo Elsner, Ernst Thomas Emde, Michael Esser, Andreas Fabritius, Markus Fisseler, Ferdinand Fromholzer, Christoph Gleske, Alexander Glos, Timon Grau, Michael Haidinger, Kai Hasselbach, Friedrich Heilmann, Wessel Heukamp, Juliane Hilf, Klaus-Stefan Hohenstatt, Frank-Erich Hufnagel, Stephanie Hundertmark, Mario Hüther, Uta Itzen, Yorck Jetter, Ulf Johannemann, Bernhard Kaiser, Boris Kasolowsky, Marcel Kaufmann, Barbara Keil, Thorsten Kleine, Tobias Klose, Martin Klusmann, Matthias Koch, Nils Matthias Koffka, Ralph Kogge, Andreas König, Thomas Kreifels, Matthias-Gabriel Kremer, Heinz Joachim Kummer, Bernd Kunth, Maximilian Lang, Tobias Larisch, Frank Laudenklos, Andrea Lensing-Kramer, Ludwig Leyendecker, Thomas Lübbig, Jochen Lüdicke, Roman Mallmann, Thomas Müller-Bonanni, Christoph Nawroth, Peter Niggemann, Hartmut Nitschke, Norbert Nolte, Henning Oesterhaus, Markus Paul, Herbert Posser, Hans-Joachim Prieß, Anselm Raddatz, Daniel Reichert-Facilides, Christian Reichmuth, Wolfram Rhein, Burkhard Richter, Adalbert Rödding, Georg Roderburg, Frank Röhling, Michael Rohls, Christian Ruoff, Wilfried Schaefer, Michael Schäfer, Martin Schiessl, Dirk Schmalenbach, Norbert Schneider, Elmar Schnitker, Ulrich Scholz, Konrad Schott, Torsten Schreier, Hans-Patrick Schroeder, Niko Schultz-Süchting, Gunnar Schuster, Alexander Schwahn, Christoph Seibt, Christian Sistermann, Friedrich Spieth, Mark Strauch, Annedore Streyl, Tobias Teufel, Rolf Trittmann, Thomas Tschentscher, Rick van Aerssen, Peter Versteegen, Gregor von Bonin, Christoph von Bülow, Arend von Riegen, Oliver von Rosenberg, Andreas von Werder, Thomas Wagner, Stephan Waldhausen, Lars Westpfahl, Gerhard Wiedemann, Jochen Wilkens, Josef Willemsen, Benedikt Wolfers, Britta Zierau	Bundesministerium für Finanzen, SoFFin, Captiva, Bionet Holding, BC Partners, Deutsche Beteiligung AG, Warburg Pincus, Cinven, Wärtsila, Orion Investment, Permira, HafenCity, DONG Energy, Celesio, One Equity Partners, Temasek, GAGFAH, RREEFF, ECE, Glencore, AstraZeneca, TOCOS, EQT, C.A.T. oil AG, FOM Real Estate, Kurita, HSH Nordbank, Close Brothers, Advent International, MARCOL, China Mobile, Austria Glas-Gesellschafter, Frankonia, UniCrdit Bank, IVG Immobilien, Rocket Internet, Zalando, FMC Corporation, ATS Automation Tooling Systems, BARD, Hochtief, Berggruen Holdings, Infineon, United Medical Systems, Metro, HypoVereinsbank, Kering, Meyer Werft, Körber AG, Fresenius, KKR, Deutsche Bank, EQT VI, Blackstone, Nord/LB, Assicurazioni Generali, CTS Eventim, Bridgepoint, Hapag-Lloyd, Triton, Amadeus, Kingfisher, Cinven, Hannover Rück, Werum, Vitus Gruppe, Solaia Group, Continental, Mologen, Lavena Holding, Amtek, Terek, Ergon, Reimann Investors, FMC Corporation, Freenet, Zhuzhou Times New Materials, Commerzbank, Deutsche Asset & Wealth Management, CVC, Siemens, Energie AG Oberösterreich, ATON, BioNet, Marine Harvest, Goldin Fund, Evotec, Inostics, FCC Fomento de Construcciones y Contratas, KBC Bank NV, E.ON, Skrill Group, AEW Europe, Prime Office, Kuka, Linde, Allnex, Cargotec, Edel, Ströer, Fortress, SFC Energy, Rewe, Otto Group, Bafin Bundesfinanzagentur, MorphoSys, SCA, ADAC, Bertelsmann, EVN, Deutsche Bahn, BWK, Charterhouse, Prettl Gruppe, SPD, Raiffeisenbank International, Frontiers Media, Fon, Barilla, ARYZTA AG, Unifrax, TenneT, 3i, Air Berlin, Hutchinson 3G, C1 Group, Det Norske Veritas, BayernLB, Oerlikon, Marlin Equity Partners, Pfleiderer AG, Pacific Century, Techem, Barclays, Krüger, General Atlantic, Carlyle, Perella Weinberg Real Estate, Zapi, EnBW, Charterhouse, EP Energy, Oaktree, Providence Equity Partners, Brachem	True Sale International, Gesellschaft zum Studium strukturpolitischer Fragen	http://www.freshfields.com/de	http://www.freshfields.com/newsandinsights.aspx?language=de&region=germany&itemtype=News&LangId=1031&SearchRegion=Global&cbDeals=true	Anwaltskanzlei
Hengeler Mueller	Johanna Wirth, Jens Wenzel, Wolfgang Spoerr, Kai-Steffen Scholz, Stefan Richter, John Flüh, Albrecht Conrad, Jan Bonhage, Nicolas Böhm, Ulrich Blech, Henning Bälz, Andreas Austmann, Alf-Henrik Bischke, Matthias Blaum, Hartwin Bungert, Dirk Busch, Reinhold Ernst, Matthias Hentzen, Michael Hoffmann-Becking, Vera Jungkind, Wolfgang Kellenter, Rainer Krause, Gerd Krieger, Thorsten Mäger, Thomas Meurer, Wolfgang Meyer-Sparenberg, Christian Möller, Alexander Nolte, Oliver Rieckers, Gerd Sassenrath, Carsten Schapmann, Maximilian Schiessl, Thomas Schmidt-Kötters, Christian Schwandtner, Georg Seyfarth, Christoph Stadler, Dirk Uwer, Jochen Vetter, Christian Wentrup, Daniel Wilm, Bernd Wirbel, Johannes Adolff, Stefanie Beinert, Dirk Hermann Bliesener, Hendrik Bockenheimer, Frank Burmeister, Torsten Busch, Thomas Cron, Ralph Defren, Daniela Favoccia, Georg Frowein, Martin Geiger, Wolfgang Groß, Hendrik Haag, Philipp Hanfland, Peter Heckel, Christian Hoefs, Christof Jäckle, Martin Klein, Ingo Klöcker, Heinrich Knepper, Ernst-Thomas Kraft, Stefan Krauss, Hans-Joachim Liebers, Oleg de Lousanoff, Markus Meier, Thomas Müller, Thomas Paul, Alexander Rang, Joachim Rosengarten, Carsten van de Sande, Matthias Scheifele, Karsten Schmidt-Hern, Christian Schmies, Sven Henrik Schneider, Klaus-Dieter Stephan, Johannes Tieves, Nikolaus Vieten, Edgar Wallach, Daniel M. Weiß, Peter Weyland, Achim Herfs, Gerhard Lang, Simon Patrick Link, Steffen Oppenländer, Viola Sailer-Coceani, Emanuel Strehle, Jochen Vetter, Daniel Wiegand	Atlas Mara, VTG, TenneT, Tele Columbus, KKR, BGP Investment, Bank of America Merrill Lynch, MeinFernbus, Bain Capital, Joma Industrial Source Corporation, IBM, Axel Springer, HAWESKO, Rabo Real Estate Group, WMF, ImmobilienScout24, Hella KGaA Hueck & Co., MSRE, Madison, First State Investments, Oddie & Cie, Waterland, LEG Immobilien, Bertelsmann, Blackstone, VTG, Siemens, Deutsche Bank, Neiman Marcus Group, Wirtgen Group, Wild Bunch, Metro, BSkyB, Adam Opel AG, DONG Energy, Zeiss, Dürr, Aalberts Industries, American & Efird Global, KPS Capital Partners, Lone Star, Strabag, Shiloh Industries, Aareal Bank, MTN Group, Carlyle, Vitol, Freenet, BorgWarner, Afilias, Imtech Deutschland, E.ON, ThyssenKrupp, Bosch, Deutsche Telekom, BackWerk, Grammer AG, Haniel, LBBW, EPISO, Günther Holding-Gruppe, Fresenius, Schroder Property, Ferrostaal, GSW, Oaktree, Pacific Andes, Deutsche Annington, MAN, Falck Danmark, Osram Licht, Royal Imtech, BMW, Kabel Deutschland, GAGFAH, EQT, CEWE, Foot Locker, CVC, EBA Clearing, Siemens, BayernLB, Commerzbank, CMC Capital, FAZ Frankfurter Allgemeine Zeitung, LEG Immobilien AG, SSC, Medion AG, Deutsche Rockwool, RWE, Germanischer Lloyd, Redknee, GEA Group, Fusheng Industrial, OSI Group, Viessmann Heiztechnik, LEG NRW, JCDecaux, Bornemann, Talanx, ElectronicPartner, Informatica, DIA, Madison Capital Partners, Weichai Power, SK Innovation, Carl Zeiss, Phoenix Pharmahandel, Porsche, Capvis, Melrose PLC, WestLB, Postbank, Perella Weinberg, AHG, EuroChem, Hugo Boss, Glory, IKB Deutsche Industriebank, M-real Corporation, Natixis, TKH Group, GlaxoSmithKline, Adidas, AHG, Tui, HeidelbergCement	True Sale International	http://www.hengeler.com	http://www.hengeler.com	Anwaltskanzlei
Linklaters	Markus Appel, Jan Endler, Kai Uwe Pritsche, Gerrit Sadowski, Thomas Schulz, Sebastian Benz, Ramona Breitling, Carsten Grave, Klaus Marinus Hoenig, Staffan Illert, Tim Johannsen-Roth, Achim Kirchfeld, Thomas Nießen, Nikolaos Paschos, Oliver Rosenberg, Stefan Schwarz, Daniela Seeliger, Wolfgang Sturm, Rüdiger Thiele, Hans-Ulrich Wilsing, Ralph Wollburg, Rupert Bellinghausen, Jens Blumenberg, Marco Carbonare, Alexandros Chatzinerantzis, Sebastian Daub, Matthew Devey, Kurt Dittrich, Ralph Drebes, Michael Ehret, Peter Erbacher, Carl-Peter Feick, Wilhelm Haarmann, Herbert Harrer, Robert Henrici, Christian Hey, Michal Hlásek, Aneta Janeczek, Janina Kroll, Wolfram Krüger, Jochen Laufersweiler, Florian Lechner, Stephan Oppenhoff, Daniel Pauly, Eva Reudelhuber, Klaus Saffenreuther, Sven Schelo, Julia Schönbohm, Michaela Sopp, Andreas Steck, Christian Storck, Marc Trinkaus, Laurenz Uhl, Alexander Vogt, Kolja von Bismarck, Nicola-Elisabeth von Tschirnhaus, Peter Waltz, Frederik Winter, Ulrich Wolff, Markus Wollenhaupt, Julian Zaich, Georg Annuß, Timo Engelhardt, Hans-Joachim Holzapfel, Wolfgang Krauel, Andreas Schaflitzl, Benjamin Schubert, Rainer Stadler, Rainer Traugott	Suzlon, Athene Holding, Heytex, B/E Aerospace, Hyosung Group, Triton, Ivanhoe Cambridge, IK Investment Partners, Marguerite Fund, Tank & Rast, UniCredit, BNP Paribas, HSBC Trinkaus, Commerzbank, Triton, Power Construction Corporation, P&I Personal & Informatik, SHW Holding, Lixil Corporation, McKesson, Barry Callebaut, DBAG, VION, Ontario Teachers Pension Plan, DOMO Chemicals, Hay Holding, LIXIL Corporation, Lloyds, Koenig & Bauer, Funke Mediengruppe, Bavaria Film, Norma Group, Cerberus, LLI, Deutsche Bank, Deutsche Post DHL, Douglas, Goldman Sachs, Morgan Stanley, Helaba, Heraeus, WAZ Mediengruppe, Siemens, Berenbank, Deutsche Beteiligungs AG, Hymer, Rhön-Klinikum, EP Energy, Hg Capital, RWE, Julius Bär, WISCO Wuhan Iron and Steel Corp., BayWa, KBC Lease Holding, KfW, Infosys, NRG Energy, BP, Gores Group, Actavis, E.ON, Q-Cells, REPower, Paul Capital, Peugeot Citroen, DNick, Deutsche Annington, Abakus Solar, Deutsche Post, Linde, Sunways, Gores Group, Berlac AG	True Sale International	http://linklaters.de	http://linklaters.de/aktuelles/presse/pressemitteilungen.html	Anwaltskanzlei
